iter	Passed	Remaining
527	11575	10348
528	11594	10323
529	11614	10299
530	11634	10275
531	11654	10252
532	11674	10229
533	11695	10205
534	11714	10181
535	11734	10158
536	11754	10134
537	11774	10111
538	11797	10090
539	11820	10069
540	11840	10045
541	11859	10021
542	11880	9998
543	11900	9975
544	11920	9952
545	11940	9928
546	11960	9904
547	11981	9882
548	12001	9859
549	12022	9836
550	12043	9813
551	12063	9790
552	12083	9767
553	12103	9744
554	12122	9719
555	12141	9695
556	12160	9671
557	12178	9647
558	12199	9624
559	12220	9601
560	12239	9577
561	12261	9556
562	12282	9533
563	12303	9510
564	12323	9487
565	12343	9464
566	12363	9441
567	12382	9417
568	12402	9394
569	12421	9370
570	12440	9347
571	12462	9324
572	12482	9302
573	12504	9280
574	12523	9256
575	12542	9232
576	12563	9210
577	12583	9187
578	12602	9163
579	12621	9139
580	12641	9116
581	12660	9093
582	12679	9069
583	12699	9046
584	12716	9021
585	12734	8996
586	12751	8971
587	12769	8947
588	12792	8926
589	12819	8908
590	12844	8889
591	12873	8872
592	12903	8856
593	12929	8837
594	12957	8819
595	12985	8802
596	13013	8784
597	13040	8766
598	13070	8749
599	13097	8731
600	13121	8711
601	13142	8688
602	13163	8666
603	13181	8642
604	13202	8619
605	13221	8595
606	13240	8572
607	13260	8549
608	13279	8525
609	13297	8501
610	13316	8478
611	13335	8454
612	13354	8430
613	13373	8407
614	13392	8383
615	13410	8359
616	13430	8336
617	13449	8313
618	13469	8290
619	13491	8269
620	13510	8245
621	13530	8222
622	13550	8200
623	13572	8178
624	13592	8155
625	13612	8132
626	13632	8109
627	13651	8086
628	13671	8063
629	13691	8040
630	13710	8017
631	13730	7994
632	13749	7971
633	13770	7949
634	13790	7926
635	13811	7904
636	13831	7882
637	13852	7859
638	13872	7837
639	13892	7814
640	13917	7794
641	13939	7773
642	13959	7750
643	13979	7727
644	13999	7705
645	14018	7682
646	14038	7659
647	14059	7637
648	14080	7615
649	14101	7593
650	14121	7570
651	14141	7547
652	14160	7524
653	14183	7503
654	14203	7481
655	14223	7458
656	14247	7438
657	14267	7415
658	14287	7393
659	14307	7370
660	14326	7347
661	14346	7325
662	14366	7302
663	14385	7279
664	14404	7256
665	14424	7234
666	14443	7211
667	14463	7188
668	14486	7167
669	14505	7144
670	14525	7121
671	14544	7099
672	14564	7076
673	14583	7053
674	14605	7032
675	14624	7009
676	14644	6987
677	14663	6964
678	14682	6941
679	14702	6918
680	14721	6895
681	14742	6874
682	14767	6853
683	14793	6834
684	14814	6812
685	14833	6789
686	14852	6766
687	14871	6744
688	14891	6721
689	14910	6698
690	14929	6676
691	14950	6654
692	14971	6632
693	14991	6610
694	15010	6587
695	15028	6564
696	15047	6541
697	15064	6518
698	15084	6495
699	15102	6472
700	15122	6450
701	15141	6427
702	15160	6404
703	15179	6382
704	15198	6359
705	15218	6337
706	15237	6314
707	15256	6292
708	15275	6269
709	15295	6247
710	15314	6224
711	15335	6203
712	15354	6180
713	15372	6157
714	15391	6135
715	15410	6112
716	15429	6090
717	15448	6067
718	15468	6045
719	15487	6022
720	15506	6000
721	15525	5977
722	15543	5955
723	15562	5932
724	15583	5910
725	15603	5888
726	15622	5866
727	15640	5843
728	15660	5821
729	15679	5799
730	15697	5776
731	15717	5754
732	15735	5731
733	15755	5709
734	15775	5687
735	15794	5665
736	15814	5643
737	15833	5620
738	15853	5599
739	15871	5576
740	15890	5554
741	15912	5532
742	15932	5510
743	15950	5488
744	15969	5466
745	15990	5444
746	16012	5423
747	16031	5400
748	16050	5378
749	16069	5356
750	16087	5334
751	16109	5312
752	16128	5290
753	16147	5268
754	16167	5246
755	16186	5224
756	16205	5201
757	16225	5180
758	16243	5157
759	16263	5135
760	16282	5113
761	16300	5091
762	16319	5069
763	16338	5046
764	16357	5024
765	16375	5002
766	16403	4983
767	16432	4964
768	16457	4943
769	16482	4923
770	16507	4903
771	16533	4883
772	16559	4862
773	16585	4842
774	16612	4822
775	16638	4802
776	16665	4783
777	16692	4763
778	16717	4742
779	16743	4722
780	16768	4702
781	16794	4681
782	16819	4661
783	16844	4640
784	16863	4618
785	16882	4596
786	16902	4574
787	16921	4552
788	16940	4530
789	16960	4508
790	16978	4486
791	16999	4464
792	17019	4442
793	17039	4420
794	17057	4398
795	17077	4376
796	17096	4354
797	17118	4333
798	17138	4311
799	17157	4289
800	17178	4267
801	17197	4245
802	17216	4223
803	17236	4201
804	17257	4180
805	17277	4158
806	17296	4136
807	17318	4115
808	17339	4093
809	17359	4071
810	17379	4050
811	17399	4028
812	17419	4006
813	17439	3984
814	17459	3963
815	17478	3941
816	17497	3919
817	17516	3897
818	17535	3875
819	17555	3853
820	17574	3831
821	17594	3809
822	17613	3787
823	17632	3766
824	17652	3744
825	17671	3722
826	17691	3700
827	17721	3681
828	17753	3661
829	17780	3641
830	17805	3621
831	17831	3600
832	17859	3580
833	17887	3560
