iter	Passed	Remaining
613	84540	53147
614	84671	53005
615	84809	52868
616	84960	52738
617	85118	52613
618	85246	52470
619	85377	52328
620	85511	52188
621	85646	52048
622	85791	51915
623	85963	51798
624	86128	51677
625	86295	51556
626	86450	51428
627	86628	51314
628	86802	51198
629	86965	51074
630	87114	50943
631	87246	50801
632	87381	50661
633	87520	50524
634	87648	50380
635	87780	50238
636	87906	50094
637	88040	49953
638	88184	49819
639	88331	49686
640	88460	49543
641	88587	49399
642	88713	49254
643	88845	49113
644	88976	48971
645	89173	48865
646	89299	48721
647	89439	48584
648	89569	48442
649	89701	48300
650	89828	48156
651	89959	48015
652	90087	47871
653	90212	47727
654	90338	47582
655	90467	47440
656	90594	47296
657	90729	47157
658	90864	47017
659	90995	46876
660	91125	46734
661	91252	46591
662	91376	46446
663	91506	46304
664	91636	46162
665	91783	46029
666	91939	45900
667	92103	45776
668	92271	45653
669	92438	45529
670	92602	45404
671	92756	45273
672	92887	45132
673	93019	44991
674	93161	44855
675	93308	44721
676	93453	44586
677	93588	44447
678	93728	44310
679	93875	44176
680	94014	44038
681	94166	43907
682	94334	43783
683	94484	43650
684	94625	43514
685	94763	43375
686	94902	43238
687	95040	43099
688	95173	42959
689	95306	42818
690	95439	42678
691	95572	42538
692	95709	42399
693	95869	42271
694	96045	42149
695	96184	42011
696	96318	41871
697	96457	41733
698	96588	41592
699	96722	41452
700	96857	41312
701	96991	41173
702	97126	41033
703	97266	40896
704	97397	40755
705	97535	40616
706	97669	40477
707	97802	40336
708	97936	40196
709	98090	40065
710	98242	39932
711	98394	39800
712	98535	39663
713	98677	39526
714	98816	39388
715	98960	39252
716	99097	39113
717	99237	38976
718	99368	38835
719	99510	38698
720	99646	38559
721	99787	38422
722	99923	38283
723	100059	38144
724	100193	38004
725	100332	37866
726	100466	37726
727	100599	37586
728	100735	37447
729	100874	37309
730	101006	37169
731	101144	37031
732	101280	36891
733	101421	36754
734	101553	36614
735	101689	36475
736	101824	36336
737	101962	36198
738	102099	36059
739	102235	35920
740	102368	35780
741	102507	35642
742	102641	35503
743	102780	35365
744	102918	35227
745	103050	35086
746	103185	34947
747	103319	34808
748	103454	34669
749	103591	34530
750	103724	34390
751	103864	34253
752	103998	34113
753	104132	33974
754	104263	33833
755	104399	33694
756	104535	33556
757	104667	33416
